family,param_name,param_value,mse,l0,expected_l0
SAE,lambda,0.01,1.825878644012846e-05,0.22169999778270721,0.22169999778270721
SAE,lambda,0.05,0.00025968518457375467,0.18310000002384186,0.18310000002384186
SAE,lambda,0.1,0.0010027160169556737,0.17090000212192535,0.17090000212192535
SAE,lambda,0.2,0.003374229883775115,0.10779999941587448,0.10779999941587448
SAE,lambda,0.5,0.01747090369462967,0.047600001096725464,0.047600001096725464
SAE,lambda,1.0,0.02624536119401455,0.015399999916553497,0.015399999916553497
Gaussian VAE,beta,0.01,0.01598723977804184,0.5317999720573425,0.5317999720573425
Gaussian VAE,beta,0.1,0.028682397678494453,0.0,0.0
Gaussian VAE,beta,0.5,0.02988419495522976,0.0,0.0
Gaussian VAE,beta,1.0,0.027966348454356194,0.0,0.0
Gaussian VAE,beta,2.0,0.027530498802661896,0.0,0.0
Gaussian VAE,beta,5.0,0.027797479182481766,0.0,0.0
Laplace VAE,b_beta,"5.0,0.1",0.046023670583963394,1.1924999952316284,1.1924999952316284
Laplace VAE,b_beta,"2.0,0.1",0.028175579383969307,0.11680000275373459,0.11680000275373459
Laplace VAE,b_beta,"1.0,0.1",0.02705266699194908,9.999999747378752e-05,9.999999747378752e-05
Laplace VAE,b_beta,"0.5,0.1",0.028219275176525116,0.0,0.0
Laplace VAE,b_beta,"0.2,0.1",0.02715737372636795,0.0,0.0
Laplace VAE,b_beta,"0.1,0.1",0.027828339487314224,0.0,0.0
Laplace VAE,b_beta,"0.5,0.3",0.02641606517136097,0.0,0.0
Laplace VAE,b_beta,"0.5,0.5",0.027758371084928513,0.0,0.0
Spike-slab VAE,pi_beta,"0.5,0.3",0.026381496340036392,0.0,1.3265105485916138
Spike-slab VAE,pi_beta,"0.3,0.3",0.02643909864127636,0.0,1.0495151281356812
Spike-slab VAE,pi_beta,"0.1,0.3",0.02753828652203083,0.0,0.9225106239318848
Spike-slab VAE,pi_beta,"0.05,0.3",0.026415975764393806,0.0,0.7854210734367371
Spike-slab VAE,pi_beta,"0.1,0.05",0.027304112911224365,0.0,1.0788474082946777
Spike-slab VAE,pi_beta,"0.1,0.1",0.027814701199531555,0.0,0.9743903279304504
Spike-slab VAE,pi_beta,"0.1,0.5",0.02656456083059311,0.0,0.9215976595878601
Spike-slab VAE,pi_beta,"0.5,0.01",0.0022394396364688873,0.20499999821186066,2.2046210765838623
Spike-slab VAE,pi_beta,"0.3,0.01",0.0013755203690379858,0.15039999783039093,1.5994668006896973
Spike-slab VAE,pi_beta,"0.1,0.01",0.0016797456191852689,0.12349999696016312,0.9682185649871826
Spike-slab VAE,pi_beta,"0.05,0.01",0.0019014995777979493,0.11879999935626984,0.9116256833076477
